|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,17.76545334,97,4.88792699,12.15504028,5.460035168,80,1650405644,1650405655,11.12191939,80,1650405655,1650405660,5.24493432,19788,33.12252793,0.083677389,2.274385452
1,,,,,,17,1650405670,1650405671,0.717379093,17,1650405671,1650405671,0.681213856,19788,,,
2,8.923105478,96,11.07235868,9.423371987,10.75858626,80,1650405795,1650405798,2.984566927,80,1650405798,1650405802,4.240629435,25920,34.99727666,0.041170627,1.057482839
2,,,,,,16,1650405813,1650405814,0.93934536,16,1650405814,1650405814,0.758558273,25920,,,
3,8.870214462,96,11.11462293,9.566577794,10.8227372,80,1650405972,1650405975,2.97487855,80,1650405975,1650405980,4.222844124,25920,32.76273823,0.044110864,1.345194578
3,,,,,,16,1650405991,1650405992,0.917441845,16,1650405992,1650405993,0.755043983,25920,,,
4,9.31807375,101,11.10439559,9.935093263,10.8391501,80,1650406154,1650406157,2.989867926,80,1650406157,1650406161,4.214483738,27270,35.44698754,0.030118732,0.592256784
4,,,,,,21,1650406172,1650406173,1.033733606,21,1650406173,1650406174,1.079982996,27270,,,
5,9.588085175,101,10.81371741,9.588716194,10.53390726,80,1650406344,1650406347,3.089172125,80,1650406347,1650406351,4.308835268,27270,36.60039232,0.02613963,1.337213635
5,,,,,,21,1650406364,1650406365,1.094230175,21,1650406365,1650406366,1.095840693,27270,,,
6,2.883369923,97,34.13876128,31.4819146,33.64119159,80,1650406549,1650406550,0.694992542,80,1650406550,1650406551,1.648381948,9894,33.2578639,0.089939907,2.356105804
6,,,,,,17,1650406554,1650406554,0.217934847,17,1650406554,1650406555,0.322054625,9894,,,
7,3.134093285,96,31.17376049,28.17732491,30.63086873,80,1650406589,1650406590,0.866264343,80,1650406590,1650406592,1.699993849,12960,35.10156231,0.059074987,0.925104022
7,,,,,,16,1650406595,1650406596,0.273672104,16,1650406596,1650406596,0.294157982,12960,,,
8,2.361081362,96,40.41930788,41.90354591,40.65933583,80,1650406641,1650406642,0.469484568,80,1650406642,1650406643,1.509764433,8640,31.77229709,0.076341398,1.291457057
8,,,,,,16,1650406645,1650406645,0.147141218,16,1650406645,1650406645,0.234685898,8640,,,
9,2.487532139,101,41.06409387,38.93516845,40.60249049,80,1650406668,1650406668,0.37930727,80,1650406668,1650406670,1.568863869,6868,32.45157517,0.063762367,0.22937347
9,,,,,,21,1650406671,1650406671,0.133948803,21,1650406671,1650406672,0.405406713,6868,,,
