|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,18.97098398,97,5.11307163,,5.11307163,97,1650406728,1650406741,12.81101489,97,1650406741,1650406747,6.1599648,19788,33.02232592,0.084667519,2.321042299
2,9.394849062,96,10.21836534,,10.21836534,96,1650406903,1650406907,4.122962713,96,1650406907,1650406912,5.271883011,25920,34.95122344,0.041203778,1.05839324
3,8.515179157,96,11.27398475,,11.27398475,96,1650407105,1650407109,3.433889389,96,1650407109,1650407114,5.081286907,25920,32.63781685,0.044429827,1.37240541
4,8.940865517,101,11.28558856,12.49885719,11.2964455,100,1650407285,1650407288,3.58665657,100,1650407288,1650407293,5.274198771,27270,35.40696077,0.029702961,0.592360735
4,,,,,,1,1650407307,1650407308,0.079872131,1,1650407308,1650407308,0.000132799,27270,,,
5,8.901025057,101,11.34709807,11.33797921,11.34700772,100,1650407469,1650407473,3.541741371,100,1650407473,1650407478,5.271081209,27270,36.58439302,0.026072176,1.326230764
5,,,,,,1,1650407492,1650407492,0.087913275,1,1650407492,1650407492,0.000282764,27270,,,
6,2.504904747,97,38.72402738,,38.72402738,97,1650407653,1650407654,0.764944792,97,1650407654,1650407656,1.739957333,9894,33.20441328,0.090640537,2.383495569
7,2.749026299,96,34.92145566,,34.92145566,96,1650407690,1650407691,0.958011866,96,1650407691,1650407693,1.791012049,12960,35.08181228,0.059025675,0.927448869
8,2.003293753,96,47.92107991,,47.92107991,96,1650407737,1650407737,0.519339323,96,1650407737,1650407739,1.483951807,8640,31.73566898,0.076100156,1.302615881
9,1.878638983,101,53.4662593,120.4740485,53.76232524,100,1650407760,1650407760,0.387521505,100,1650407760,1650407762,1.482803106,6868,32.47811097,0.064637877,0.22952956
9,,,,,,1,1650407763,1650407763,0.008196354,1,1650407763,1650407763,0.000101805,6868,,,
