|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,9.222441912,101,11.08684973,10.75938965,10.95154634,60,1650426558,1650426560,2.342798233,60,1650426560,1650426563,3.069015741,27270,38.54255114,0.034989879,0.087187551
1,,,,,,41,1650426572,1650426574,1.684693813,41,1650426574,1650426576,2.125927448,27270,,,
vid2,2.659254313,90,34.55906399,32.49932201,33.8440741,60,1650426746,1650426747,0.620110035,60,1650426747,1650426748,1.116041899,14040,34.7591215,0.044078831,0.327202767
vid2,,,,,,30,1650426751,1650426751,0.378161907,30,1650426751,1650426752,0.544931412,14040,,,
