|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,9.003539562,101,11.06043125,11.36155095,12.17840624,11.21781043,50,1650426310,1650426312,1.977684736,50,1650426312,1650426315,2.542931318,27270,38.54895324,0.034550961,0.086642593
1,,,,,,,50,1650426322,1650426324,1.865949392,50,1650426324,1650426326,2.534854412,27270,,,
1,,,,,,,1,1650426334,1650426334,0.082032919,1,1650426334,1650426334,7.65E-05,27270,,,
vid2,2.721063375,90,32.60905126,33.67721238,,33.07530461,50,1650426493,1650426493,0.538398743,50,1650426493,1650426494,0.994915247,14040,34.77799525,0.043921515,0.324563712
vid2,,,,,,,40,1650426496,1650426497,0.459758282,40,1650426497,1650426497,0.727986097,14040,,,
