|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,9.456547976,101,10.8070363,10.82019952,10.20177064,10.68043014,40,1650426047,1650426049,1.691781282,40,1650426049,1650426051,2.009507656,27270,38.60967808,0.032958105,0.086391889
1,,,,,,,40,1650426057,1650426058,1.685095787,40,1650426058,1650426060,2.011690378,27270,,,
1,,,,,,,21,1650426066,1650426067,1.005723953,21,1650426067,1650426068,1.052739143,27270,,,
vid2,2.743619919,90,32.13389532,34.63471652,29.07671148,32.80337753,40,1650426246,1650426246,0.447201014,40,1650426246,1650426247,0.797587872,14040,34.75621748,0.044200957,0.324471533
vid2,,,,,,,40,1650426248,1650426249,0.430463791,40,1650426249,1650426250,0.724444389,14040,,,
vid2,,,,,,,10,1650426251,1650426251,0.187696934,10,1650426251,1650426252,0.156218052,14040,,,
