total_time_taken,total_frames,individual_fps,average_fps,vsr_time__001,vsr_time__002,vsr_time__003,vsr_time__004,vi_time__001,vi_time__002,vi_time__003,vi_time__004,input_resolution
3.007866144,1200,15.26380931,398.9539236,10,1650915619,1650915620,0.414194822,10,1650915620,1650915620,0.240947247,216000
,,4.250396482,,10,1650915620,1650915622,2.073378086,10,1650915622,1650915622,0.279338598,216000
