|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,13.6552763,97,4.2012312,14.45249092,12.43991518,7.103481312,40,1650348409,1650348416,6.249073744,40,1650348416,1650348419,3.2719419,19788,33.15306688,0.083540633,2.270803213
1,,,,,,,40,1650348425,1650348426,1.22131896,40,1650348426,1650348428,1.546366453,19788,,,
1,,,,,,,17,1650348433,1650348434,0.716905594,17,1650348434,1650348435,0.64966011,19788,,,
2,8.704061031,96,11.21894168,11.24875383,10.10922456,11.02933443,40,1650348554,1650348556,1.598621607,40,1650348556,1650348558,1.966773987,25920,35.13910927,0.040453639,1.015545487
2,,,,,,,40,1650348564,1650348566,1.582429647,40,1650348566,1650348568,1.97351408,25920,,,
2,,,,,,,16,1650348574,1650348575,0.857284546,16,1650348575,1650348575,0.725425482,25920,,,
3,8.630036354,96,11.42523571,11.45098031,9.780765481,11.12393924,40,1650348727,1650348728,1.535171986,40,1650348728,1650348730,1.965847492,25920,32.90210131,0.043508541,1.330596566
3,,,,,,,40,1650348737,1650348739,1.526019573,40,1650348739,1650348741,1.967128277,25920,,,
3,,,,,,,16,1650348748,1650348748,0.913148403,16,1650348748,1650348749,0.722712517,25920,,,
4,9.055950165,101,11.39203404,11.32806385,10.42871369,11.15288823,40,1650348900,1650348902,1.544836998,40,1650348902,1650348904,1.966386318,27270,35.57264024,0.029983038,0.588125467
4,,,,,,,40,1650348910,1650348912,1.564276934,40,1650348912,1650348914,1.966773748,27270,,,
4,,,,,,,21,1650348920,1650348921,0.980438232,21,1650348921,1650348922,1.033230066,27270,,,
5,9.051021576,101,11.39557951,11.3864951,10.35525908,11.15896136,40,1650349082,1650349083,1.535923958,40,1650349083,1650349085,1.974206448,27270,36.7650977,0.025556086,1.30941844
5,,,,,,,40,1650349092,1650349094,1.546740055,40,1650349094,1650349095,1.966189146,27270,,,
5,,,,,,,21,1650349102,1650349103,0.990142345,21,1650349103,1650349104,1.03780961,27270,,,
6,2.502850056,97,39.57897776,39.84967671,34.80466469,38.7558175,40,1650349282,1650349282,0.36954546,40,1650349282,1650349283,0.641089201,9894,33.25694671,0.090093061,2.354444265
6,,,,,,,40,1650349286,1650349286,0.371792555,40,1650349286,1650349287,0.631976604,9894,,,
6,,,,,,,17,1650349290,1650349290,0.208468676,17,1650349290,1650349290,0.279968739,9894,,,
7,2.887873411,96,33.62324533,33.97373585,30.71959688,33.24245434,40,1650349323,1650349323,0.469338179,40,1650349323,1650349324,0.720312595,12960,35.19588294,0.058456261,0.906524658
7,,,,,,,40,1650349327,1650349327,0.476008892,40,1650349327,1650349328,0.701368809,12960,,,
7,,,,,,,16,1650349331,1650349331,0.256709576,16,1650349331,1650349331,0.264128685,12960,,,
8,2.044077873,96,47.20857864,47.85471203,44.33227241,46.96494261,40,1650349372,1650349372,0.256432295,40,1650349372,1650349373,0.590868711,8640,31.82804878,0.075384445,1.263497233
8,,,,,,,40,1650349375,1650349375,0.257917404,40,1650349375,1650349376,0.577943325,8640,,,
8,,,,,,,16,1650349378,1650349378,0.145828485,16,1650349378,1650349378,0.215079784,8640,,,
9,1.920581341,101,53.58126606,53.34958041,49.49559666,52.58824391,40,1650349398,1650349399,0.182709694,40,1650349399,1650349399,0.563817501,6868,32.51938248,0.062572755,0.229101062
9,,,,,,,40,1650349401,1650349401,0.190162182,40,1650349401,1650349402,0.559606075,6868,,,
9,,,,,,,21,1650349404,1650349404,0.127449512,21,1650349404,1650349404,0.296827793,6868,,,
