|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,8.804167032,101,11.46694679,11.98324638,11.47184051,100,1650427061,1650427064,3.535117626,100,1650427064,1650427069,5.18559742,27270,38.28300543,0.050411582,0.087967396
1,,,,,,1,1650427084,1650427084,0.083320856,1,1650427084,1650427084,0.000126123,27270,,,
vid2,2.574138641,90,34.96315177,,34.96315177,90,1650427240,1650427241,0.886775255,90,1650427241,1650427242,1.68736124,14040,34.78923186,0.04399737,0.326028794
