|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__individual_fps__004,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,10.22678161,101,10.13498317,9.889785069,10.14821187,8.613140032,9.876029809,30,1650425786,1650425788,1.471482515,30,1650425788,1650425789,1.488559008,27270,38.64656867,0.031337794,0.085988112
1,,,,,,,,30,1650425793,1650425795,1.541644096,30,1650425795,1650425796,1.491785288,27270,,,
1,,,,,,,,30,1650425801,1650425802,1.474021196,30,1650425802,1650425804,1.48216176,27270,,,
1,,,,,,,,11,1650425808,1650425809,0.748950481,11,1650425809,1650425809,0.528164864,27270,,,
vid2,2.749534607,90,30.38715824,34.24645701,33.84963694,,32.73281223,30,1650425982,1650425983,0.370050192,30,1650425983,1650425983,0.617206097,14040,34.69659149,0.044675849,0.323258281
vid2,,,,,,,,30,1650425984,1650425985,0.34270215,30,1650425985,1650425985,0.533298254,14040,,,
vid2,,,,,,,,30,1650425987,1650425987,0.353717804,30,1650425987,1650425987,0.532552242,14040,,,
