|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,9.103735447,101,11.40571077,10.04926423,11.094347,80,1650426812,1650426815,2.885734081,80,1650426815,1650426819,4.128293276,27270,38.46908148,0.041827962,0.087211877
1,,,,,,21,1650426830,1650426831,1.034393311,21,1650426831,1650426832,1.055308104,27270,,,
vid2,2.637111902,90,35.14357527,27.72113005,34.12824459,80,1650426993,1650426994,0.770099163,80,1650426994,1650426996,1.506274939,14040,34.79172179,0.043798223,0.326476693
vid2,,,,,,10,1650426999,1650426999,0.207920074,10,1650426999,1650426999,0.152812958,14040,,,
