|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,17.84354877,97,3.39698182,15.04192339,,5.436138362,50,1650779529,1650779544,14.71893072,50,1650779544,1650779544,2.38E-07,19788,39.96264968,0.022807864,0.389362484
1,,,,,,,47,1650779551,1650779554,3.124596834,47,1650779554,1650779554,2.38E-07,19788,,,
2,8.203300714,96,10.60634084,13.18376615,,11.70260647,50,1650779678,1650779683,4.714158297,50,1650779683,1650779683,2.38E-07,25920,37.38800402,0.027230663,0.178602487
2,,,,,,,46,1650779690,1650779693,3.489136696,46,1650779693,1650779693,2.38E-07,25920,,,
3,8.220200777,96,12.00346902,11.34475194,,11.67854686,50,1650779858,1650779862,4.165455818,50,1650779862,1650779862,0,25920,37.79041166,0.027512128,0.142299518
3,,,,,,,46,1650779869,1650779873,4.054735422,46,1650779873,1650779873,2.38E-07,25920,,,
4,9.127740145,101,9.627447097,13.00162518,11.28893985,11.06517039,50,1650780035,1650780040,5.193481207,50,1650780040,1650780040,4.77E-07,27270,37.06241827,0.027070582,0.171681687
4,,,,,,,50,1650780047,1650780051,3.845670223,50,1650780051,1650780051,2.38E-07,27270,,,
4,,,,,,,1,1650780059,1650780059,0.088578939,1,1650780059,1650780059,2.38E-07,27270,,,
5,9.49026823,101,12.93754751,9.02921996,11.36735524,10.64248107,50,1650780218,1650780222,3.86471796,50,1650780222,1650780222,2.38E-07,27270,41.60133426,0.016537165,0.48816371
5,,,,,,,50,1650780229,1650780235,5.537570953,50,1650780235,1650780235,2.38E-07,27270,,,
5,,,,,,,1,1650780242,1650780242,0.087967396,1,1650780242,1650780242,2.38E-07,27270,,,
6,1.468621492,97,65.74282281,66.37647445,,66.04833206,50,1650780402,1650780403,0.760537386,50,1650780403,1650780403,2.38E-07,9894,38.87724573,0.037058074,0.364087671
6,,,,,,,47,1650780405,1650780405,0.708080053,47,1650780405,1650780405,2.38E-07,9894,,,
7,1.870478153,96,51.4396288,51.19843755,,51.32377506,50,1650780438,1650780439,0.972011566,50,1650780439,1650780439,0,12960,36.21942098,0.057645679,0.184581921
7,,,,,,,46,1650780441,1650780442,0.898462534,46,1650780442,1650780442,2.38E-07,12960,,,
8,0.987844706,96,95.52473761,99.04825817,,97.18126691,50,1650780484,1650780484,0.523422718,50,1650780484,1650780484,0,8640,32.83312835,0.069514573,0.329714596
8,,,,,,,46,1650780485,1650780486,0.464418411,46,1650780486,1650780486,0,8640,,,
9,0.792103529,101,126.2793818,129.0756832,113.8117385,127.5085848,50,1650780505,1650780506,0.395945549,50,1650780506,1650780506,0,6868,31.75841268,0.084025413,0.157704383
9,,,,,,,50,1650780507,1650780507,0.387366533,50,1650780507,1650780507,0,6868,,,
9,,,,,,,1,1650780508,1650780508,0.008784056,1,1650780508,1650780508,2.38E-07,6868,,,
