|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,15.82382131,97,4.371925116,17.61997062,6.129998445,60,1650780557,1650780570,13.72391796,60,1650780570,1650780570,2.38E-07,19788,39.95627559,0.022817299,0.389577121
1,,,,,,37,1650780579,1650780581,2.099886894,37,1650780581,1650780581,4.77E-07,19788,,,
2,7.733543873,96,11.35021047,14.71009896,12.41345515,60,1650780704,1650780710,5.286242962,60,1650780710,1650780710,2.38E-07,25920,37.40506669,0.026973898,0.178810418
2,,,,,,36,1650780718,1650780720,2.447295189,36,1650780720,1650780720,4.77E-07,25920,,,
3,7.571771622,96,11.68607743,14.76949225,12.67867083,60,1650780878,1650780883,5.134308338,60,1650780883,1650780883,2.38E-07,25920,37.80692154,0.027495354,0.142314464
3,,,,,,36,1650780892,1650780895,2.437452793,36,1650780895,1650780895,2.38E-07,25920,,,
4,11.47412205,101,7.5936104,11.47577895,8.802416393,60,1650781055,1650781062,7.901377439,60,1650781062,1650781062,0,27270,37.14242818,0.02690598,0.171322882
4,,,,,,41,1650781071,1650781075,3.572739601,41,1650781075,1650781075,2.38E-07,27270,,,
5,9.913083553,101,10.64584737,9.585972141,10.1885553,60,1650781240,1650781245,5.635998011,60,1650781245,1650781245,2.38E-07,27270,41.62399219,0.016383482,0.484448522
5,,,,,,41,1650781254,1650781258,4.277079582,41,1650781258,1650781258,2.38E-07,27270,,,
6,1.455028296,97,68.23100013,64.27375892,66.66537022,60,1650781423,1650781424,0.879362345,60,1650781424,1650781424,2.38E-07,9894,38.88864649,0.037013695,0.363374561
6,,,,,,37,1650781426,1650781426,0.575659752,37,1650781426,1650781426,2.38E-07,9894,,,
7,1.838268042,96,53.68141099,49.96095437,52.22306967,60,1650781459,1650781460,1.117702961,60,1650781460,1650781460,0,12960,36.37199129,0.05648927,0.185528308
7,,,,,,36,1650781462,1650781463,0.720560074,36,1650781463,1650781463,2.38E-07,12960,,,
8,0.958562374,96,100.7194572,99.21502126,100.1499773,60,1650781504,1650781505,0.595711946,60,1650781505,1650781505,0,8640,32.83465751,0.069646388,0.33165592
8,,,,,,36,1650781506,1650781506,0.362846375,36,1650781506,1650781506,2.38E-07,8640,,,
9,0.789697409,101,130.920623,123.7159015,127.8970893,60,1650781526,1650781526,0.458291292,60,1650781526,1650781526,0,6868,31.69150698,0.08637622,0.158742219
9,,,,,,41,1650781527,1650781528,0.331401825,41,1650781528,1650781528,2.38E-07,6868,,,
