|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,9.336638927,101,12.42627139,9.201006751,11.86238242,10.81759729,40,1650771875,1650771879,3.218976259,40,1650771879,1650771879,7.15E-07,27270,38.9462739,0.046737421,0.048152875
1,,,,,,,40,1650771885,1650771889,4.34734726,40,1650771889,1650771889,4.77E-07,,,,
1,,,,,,,21,1650771895,1650771897,1.770297766,21,1650771897,1650771897,2.38E-07,,,,
vid2,1.83041501,90,51.7104609,51.69978457,35.313288,49.1691772,40,1650772059,1650772060,0.773534775,40,1650772060,1650772060,2.38E-07,14040,35.42439174,0.036189679,0.176676765
vid2,,,,,,,40,1650772062,1650772062,0.773695469,40,1650772062,1650772062,2.38E-07,,,,
vid2,,,,,,,10,1650772064,1650772064,0.283177376,10,1650772064,1650772064,0,,,,
