|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,9.022901297,101,11.38293752,10.52716811,11.19373876,80,1650772638,1650772645,7.028050661,80,1650772645,1650772645,2.38E-07,27270,38.33194694,0.086423621,0.051955797
1,,,,,,21,1650772657,1650772659,1.994835138,21,1650772659,1650772659,2.38E-07,,,,
vid2,1.779570103,90,53.90069318,33.85708727,50.57401215,80,1650772822,1650772824,1.484208822,80,1650772824,1650772824,4.77E-07,14040,35.47046052,0.035821442,0.175299615
vid2,,,,,,10,1650772827,1650772828,0.295355797,10,1650772828,1650772828,0,,,,
