|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,9.11193037,101,10.93869756,11.25136776,10.29886141,11.08436916,50,1650772130,1650772134,4.570918083,50,1650772134,1650772134,2.38E-06,27270,38.70898617,0.058182187,0.049347535
1,,,,,,,50,1650772141,1650772146,4.443900347,50,1650772146,1650772146,2.38E-07,,,,
1,,,,,,,1,1650772153,1650772154,0.097093821,1,1650772154,1650772154,4.77E-07,,,,
vid2,1.727377653,90,53.32165783,50.65391836,,52.10209814,50,1650772313,1650772314,0.937703609,50,1650772314,1650772314,2.38E-07,14040,35.47601325,0.035728067,0.174893528
vid2,,,,,,,40,1650772316,1650772317,0.789670229,40,1650772317,1650772317,0,,,,
