|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,8.181550503,101,12.42586865,7.47253499,12.34484832,100,1650772893,1650772901,8.047715187,100,1650772901,1650772901,0,27270,37.65524012,0.120137841,0.056283128
1,,,,,,1,1650772916,1650772916,0.133819818,1,1650772916,1650772916,4.77E-07,,,,
vid2,1.662946224,90,54.12081202,,54.12081202,90,1650773076,1650773078,1.662944317,90,1650773078,1650773078,2.38E-07,14040,35.46025866,0.035921425,0.175567999
