|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,13.42354083,97,7.226111294,,7.226111294,97,1650782588,1650782601,13.42353892,97,1650782601,1650782601,2.38E-07,19788,39.96542016,0.022808274,0.389326811
2,9.601993561,96,9.997923805,,9.997923805,96,1650782732,1650782742,9.601991415,96,1650782742,1650782742,0,25920,37.35537347,0.02734533,0.178020477
3,8.020970345,96,11.96862672,,11.96862672,96,1650782907,1650782915,8.020967722,96,1650782915,1650782915,2.38E-07,25920,37.81033386,0.027477995,0.141602129
4,8.227558613,101,12.3333697,8.369993135,12.27581653,100,1650783086,1650783094,8.108075857,100,1650783094,1650783094,5.72E-06,27270,36.79182949,0.028469557,0.172051847
4,,,,,,1,1650783109,1650783109,0.11947155,1,1650783109,1650783109,0,27270,,,
5,7.220347166,101,14.03937549,10.25396903,13.98824706,100,1650783268,1650783275,7.122821569,100,1650783275,1650783275,4.77E-07,27270,41.44925251,0.016952667,0.488495469
5,,,,,,1,1650783290,1650783290,0.097519875,1,1650783290,1650783290,2.38E-07,27270,,,
6,1.372243881,97,70.68714339,,70.68714339,97,1650783450,1650783451,1.372241259,97,1650783451,1650783451,0,9894,38.88995615,0.037029307,0.363492727
7,1.743600368,96,55.05848802,,55.05848802,96,1650783486,1650783488,1.743597746,96,1650783488,1650783488,4.77E-07,12960,36.12200796,0.05921787,0.184841439
8,0.938595772,96,102.2804522,,102.2804522,96,1650783532,1650783533,0.938593864,96,1650783533,1650783533,2.38E-07,8640,32.83946089,0.069421776,0.329483628
9,0.758145571,101,133.4462592,113.89209,133.2197983,100,1650783554,1650783555,0.749363184,100,1650783555,1650783555,2.38E-07,6868,30.41665228,0.125717968,0.166758582
9,,,,,,1,1650783557,1650783557,0.008778334,1,1650783557,1650783557,0,6868,,,
