|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__individual_fps__003,|__individual_fps__004,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,8.516503334,101,10.95036196,11.83729165,13.22627088,11.29025757,11.85932724,30,1650771613,1650771615,2.739625931,30,1650771615,1650771615,2.38E-07,27270,39.09138968,0.037998803,0.047542471
1,,,,,,,,30,1650771620,1650771622,2.534360409,30,1650771622,1650771622,2.38E-07,,,,
1,,,,,,,,30,1650771627,1650771629,2.268209219,30,1650771629,1650771629,2.38E-07,,,,
1,,,,,,,,11,1650771634,1650771635,0.974288464,11,1650771635,1650771635,0,,,,
vid2,1.733747721,90,50.57662092,52.31220916,52.89994009,,51.91066666,30,1650771805,1650771806,0.593157768,30,1650771806,1650771806,0,14040,35.48266565,0.035643611,0.174413338
vid2,,,,,,,,30,1650771807,1650771808,0.57347703,30,1650771808,1650771808,2.38E-07,,,,
vid2,,,,,,,,30,1650771809,1650771810,0.567106485,30,1650771810,1650771810,0,,,,
