|,|__total_time_taken,|__total_frames,|__individual_fps__001,|__individual_fps__002,|__average_fps,|__vsr_time__001,|__vsr_time__002,|__vsr_time__003,|__vsr_time__004,|__vi_time__001,|__vi_time__002,|__vi_time__003,|__vi_time__004,|__input_resolution,|__PSNR,|__LPIPS,|__tOF
1,8.495974302,101,12.57593487,11.0068378,11.88798323,60,1650772384,1650772389,4.771004677,60,1650772389,1650772389,2.38E-07,27270,38.70154802,0.061539475,0.049227472
1,,,,,,41,1650772398,1650772402,3.724952698,41,1650772402,1650772402,2.38E-07,,,,
vid2,1.756706238,90,52.67871661,48.56519584,51.23224251,60,1650772568,1650772569,1.138977051,60,1650772569,1650772569,2.38E-07,14040,35.48988513,0.035651695,0.174194366
vid2,,,,,,30,1650772572,1650772573,0.61772275,30,1650772573,1650772573,4.77E-07,,,,
